,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,税费解析,装修描述,售房详情,户型介绍,交通出行,别墅类型,周边配套,权属抵押
485,['外文印刷厂宿舍 双阳台 东西通透 近地铁6/9白石桥南'],600,88889,"['海淀', '紫竹桥']",2室1厅1厨1卫,顶层 (共6层),67.5㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,2023/8/16,已购公房,2010/7/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年唯一央产房，业主诚心卖，全明格局。
                  ","
                    此房是正规的东西通透的两居室，明厨明卫，有一个正规的小客厅，户型方正没有浪费面积。
                  ","
                    此房是满五年唯一的央产房，首套只有1%的契税，二套只有3%的契税，购房成本低。
                  ","
                    本房是满五唯一的公房，产权清晰没有纠纷家里人都同意卖，没有抵押，没有查封。
                  ",,,,,,,
486,['五道口 地质院内 南北通透两居 满五年唯一 中间楼层'],618,102149,"['海淀', '五道口']",2室1厅1厨1卫,中楼层 (共5层),60.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/8/21,商品房,2008/4/5,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    五道口 地大 南北通透两居 满五年唯一 中间楼层 交通便利
                  ","
                    房子在地质院内，环境安静，居住人群素质高，很多邻居都是大学老师，院内有操场，菜店，游泳馆，生活配套齐备。
                  ","
                    房子是南北通过两居室，中间楼层，明厨明卫户型，主卧室朝南16.1平米带个阳台，次卧室朝北，面积13平米，两个卧室都很宽敞，厨房卫生间朝北，格局很好利用。
                  ","
                    房子是商品房，满五年，业主家庭名下只有这一套房产，您只需交纳契税首套1%，二套3%。
                  ","
                    小区位于五道口，交通购物便利，距离五道口城铁步行距离918米。
                  ",,,,,,
487,['航天社区 2室1厅 南 西'],878,136125,"['海淀', '中关村']",2室1厅1厨1卫,高楼层 (共14层),64.5㎡,平层,暂无数据,塔楼,南 西,钢混结构,其他,两梯八户,集中供暖,有,2023/8/17,央产房,1995/2/15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
488,['学院南路72号院 满五唯一商品房  电梯 无遮挡'],739,104379,"['海淀', '白石桥']",3室1厅1厨1卫,低楼层 (共16层),70.8㎡,平层,暂无数据,板塔结合,西北 东,钢混结构,精装,两梯七户,集中供暖,有,2023/8/17,商品房,2016/10/11,普通住宅,满五年,共有,"
                                有抵押 153万元
                              ",已上传房本照片,"
                    此房是满五唯一的商品房，楼层好，电梯直达，精装修
                  ","
                    本小区共有三栋楼，门口24小时保安值班，居住多是船舶职工居住，邻居间很和睦，小区的南侧就是商场，距离近的是魏公村地铁站有地铁4号线，小区物业服务态度好
                  ","
                    房子是1992年建成的，电梯房，户型方正，正规三居室，厨房有外窗直接对外，本房采光好视野棒，没有遮挡
                  ","
                    在小区的北侧就是学院南路，距离皂君庙西站100米（来自百度地图），有公交路线645.651.609.603路，距离魏公村地铁站840米（来自百度地图）
                  ",,,,,,,
489,['二里沟两居室不临街南北通透明厨明卫'],679,116547,"['海淀', '紫竹桥']",2室1厅1厨1卫,高楼层 (共6层),58.26㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/15,商品房,2010/1/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    二里沟两居室不临街南北通透明厨明卫
                  ","
                    本小区是机械科学研究院的家属院，目前小区里大部分住户还是单位职工，居住的人群素是高邻里和谐，小区是北控物业管理的比较好。
                  ","
                    此房是正规的南北通透的两居室，户型优势是南北通透明厨明卫明厅的全明格局，采光好，无遮挡，安静不临街
                  ","
                    此房业主售房原因是换房，诚心卖价格可谈，看房方便提前预约就可以。
                  ",,,,,,,
490,['永泰庄6号院 满五唯一商品房  中间层 诚心出售'],375,86967,"['海淀', '清河']",1室1厅1厨1卫,中楼层 (共6层),43.12㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/8/16,商品房,2015/9/29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    永泰庄6号院 满五唯一商品房  中间层 总价低 诚心出售
                  ","
                    正规一室一厅，卧室带大阳台，户型方正，没有浪费面积，单位分房，公摊小，利用率高。
                  ","
                    业主卖房变现，产权干净清晰，商品房性质，诚心出售，基本随时能看房。
                  ","
                    满五年唯一商品房，首套房子契税是1%，二套契税3%没有多余税费。
                  ",,,,,,,
491,['海淀百里庄 精装三居 非顶层 南北通透 周边设施齐全'],878,113731,"['海淀', '甘家口']",3室1厅1厨1卫,高楼层 (共6层),77.2㎡,平层,54.8㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023/8/16,商品房,2012/8/24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房南北通透，格局方正，户型可设计，装修设计用心，看房方便
                  ","
                    本房原始格局是三居室，现业主装修时把中间采光一般的卧室给打开了，做成了一个开放式的活动区域。
                  ","
                    小区出东门北边就是永辉，往东是甘家口大厦，往西是美廉美，购物方便；公园有，南侧玉渊潭公园和北侧紫竹院公园；相邻有多家三甲医院。
                  ","
                    业主19年装修，设计花心思很多巧妙的地方。1：阳台的南侧做了50cm飘窗，东侧衔接处做了一个柜子。2：次卧和厨房的窗户往北做了飘窗增加了物品存放的空间。3：卫生间的梳妆镜往墙内探了10公分，增加了淋浴的空间。4：卫生间正对的墙体内探一组柜子。
                  ","
                    本房是业主贷款购买，但是在17年就还清贷款，现在房子权属干净，随时可以交易。
                  ","
                    小区西边走215米（来自高德地图）是73路公交增光路站，东边有6/9号线白石桥南站1000米（来自高德地图），到9号线白堆子站725米（来自高德地图），公共交通出行方便。出小区往南是阜成路，往东是首体南路，往北是增光路，往西是西三环，开车出行也很便捷。
                  ",,,,,
492,['清河永泰东里，视野好，8号线旁边'],395,75196,"['海淀', '清河']",1室1厅1厨1卫,顶层 (共6层),52.53㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/8/20,商品房,2005/4/1,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是板楼，小区中间位置，房子朝南，视野采光好。
                  ","
                    小区是天鸿集团开发的，96到2000年建成的，小区属于海淀永泰庄板块，配套成熟。
                  ","
                    本房高楼层，适合年轻人居住，视野很好，有个大卧室，适合一家两代人居住。
                  ","
                    房子简单装修，买房有一段时间了，业主诚意出售，客厅大，每个功能间都比较大。
                  ",,,,,,,
493,['甘家口小区 精装两居室 客厅方正 出入方便'],650,94067,"['海淀', '甘家口']",2室1厅1厨1卫,底层 (共9层),69.1㎡,平层,暂无数据,板塔结合,西,钢混结构,其他,两梯三户,集中供暖,有,2023/8/19,商品房,2015/12/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一 楼龄新 精装修 看房方便 拎包入住
                  ","
                    小区是市政集中供暖，为您在寒冷冬日依然如沐春风。 2．东临地铁16号线甘家口站，步行约500米；西接地铁9号线（白堆子站），步行约200米；北望地铁6号线白石桥南，步行约600米；来往公交亦四通八达，出行特 别的便利 3.朝市发、顺天府等便民市场
                  ","
                    此房源配套齐全，有甘家口大厦可以休闲购物，市场有钞市发和顺天府，距离海军总医院300米，距离玉渊潭公园北门400米可以游玩锻炼身体，距离地铁九号线白堆子站198米，小区内有菜市场和便利店，生活购物方便。
                  ","
                    出小区可以乘公交车 73路101路103路特18路 121路.603路等公交。距离地铁9号线白堆子站（500米），地铁6号线白石桥南站（1.3公里）。以上数据来自高德地图
                  ",,,,,,,
494,['玉海园二里 中间楼层 南北通透 看房方便 诚心出售'],735,90741,"['海淀', '玉泉路']",2室2厅1厨1卫,中楼层 (共6层),81㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/19,商品房,2017/2/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，中间楼层出入方便
                  ","
                    本房户型在整个玉海园小区存量比较少，正规南北两居室，南北双阳台，客厅和餐厅分离，居住起来更方便一些，布局无浪费欢迎鉴赏，
                  ","
                    地铁：1号线 玉泉路; 公交：黄家坟||530; 特10||玉海园||370; 530; 981; 特10|| 医院：武警总医院、永定路社区卫生服务、玉泉医院 银行：中国农业银行、北京农村银行、中国工商银行、中国建设银行、交通银行
                  ","
                    本房满五年唯一商品房，税费：契税首套1%，二套3%（仅供参考），具体金额请咨询
                  ",,,,,,,
495,['世华龙樾一期西区 1室1厅 南'],550,97019,"['海淀', '清河']",1室1厅1厨1卫,中楼层 (共17层),56.69㎡,平层,46.29㎡,板楼,南,钢混结构,其他,两梯四户,集中供暖,有,2023/8/20,商品房,2020/12/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
496,['中海雅园 3室2厅 东南 北'],1560,101148,"['海淀', '紫竹桥']",3室2厅1厨2卫,中楼层 (共19层),154.23㎡,平层,暂无数据,塔楼,东南 北,钢混结构,其他,两梯八户,集中供暖,有,2023/8/18,商品房,2013/2/5,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
497,['2003年商品房社区，高层两居室带客厅 ，诚售可贷款'],955,116082,"['海淀', '西直门']",2室1厅1厨1卫,高楼层 (共19层),82.27㎡,平层,暂无数据,塔楼,西,钢混结构,精装,三梯十二户,集中供暖,有,2023/8/17,商品房,2021/1/1,普通住宅,满两年,非共有,"
                                有抵押 170万元 业主自还
                              ",已上传房本照片,"
                    2003年商品房社区，高层两居室带客厅 ，诚售可贷款
                  ","
                    小区是03年的商品房小区，东西两个门，人车分流，24小时保安巡逻，监控密集，居住安全，小区内有会所，会所内有游泳馆、健身房，小区内有儿童乐园、健身器材，居住舒适度高。
                  ","
                    房子是正规的两居室，进门右手是卫生间，次卧朝西，往前走就是厨房，主卧室朝西，餐客一体大客厅朝西，带大阳台，也可当三居使用。房子户型方正，无斜角，家具家电好摆放。
                  ","
                    小区楼下一层全部是朝外的底商，便利店、蔬菜、水果便民点多，出小区往西就是海洋馆、动物园，往东有转河公园，小区门前是一条小马路，有划线停车位，停车相对方便。
                  ","
                    距离西直门地铁站1.5公里（百度地图标记），可乘坐地铁2号4号13号线，公交两站地有87路、651路，公交站为交大东路南口站。
                  ",,,,,,
498,['满五年唯一单位分房 ，户型方正 ，南北通透。'],888,167548,"['海淀', '五道口']",2室1厅1厨1卫,顶层 (共3层),53㎡,复式,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/8/15,央产房,2000/2/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一单位分房 ，户型方正 ，格局方正，南北通透。
                  ","
                    开发单位:中科院 居住人群：清华、北大、中国科学院职工居多。 小区均为板楼，人口密度低，居住人群多为中科院理化所职工，楼龄新加上小区环境好，使得小区有种闹中取静的气质，适合居住。
                  ","
                    楼层3层，不临街，两居室带客厅，主卧朝南，适合一家人居住。另有各楼。是一梯两户，安全好，也很安静。
                  ","
                    一梯两户，南北通透，次卧朝北，主卧朝南，带大各楼，格局方正，无遮挡采光好！
                  ","
                    小区东边是东升园公交站 经过东升园的线路有466路，333路，630路，86路，特19路公交线路，地铁13号线五道口站
                  ","
                    房屋无抵押，无查封，无诉讼，产权清晰。 售房原因：房主变现，付款周期可以协商。
                  ",,,,,
499,['邮局宿舍 2室1厅 东'],545,99635,"['海淀', '颐和园']",2室1厅1厨1卫,中楼层 (共6层),54.7㎡,平层,暂无数据,板楼,东,混合结构,其他,一梯三户,集中供暖,无,2023/8/19,商品房,2020/5/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
500,['永泰园 三居室 中间楼层 满五唯一'],600,88016,"['海淀', '清河']",3室1厅1厨1卫,高楼层 (共6层),68.17㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/8/18,商品房,2020/8/4,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一商品房，没有遮挡，采光好，小区中间位置，适合居住
                  ","
                    房子是精装修，原始三居室，可以当南北通透两个卧室带大客厅，户型方正
                  ","
                    此房是满五年商品房，家庭唯一住宅，首套购房有契税1%（二套3%），首付压力低
                  ","
                    房子无抵押，产权清晰，业主诚心出售，可随时签约，看房比较方便
                  ",,,,,,,
501,['永泰东里中间楼层两居室南北通透业主诚心出售'],575,82627,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共6层),69.59㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/8/20,商品房,2009/9/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透，采光通风效果都不错，户型好
                  ","
                    此房中间楼层，老人孩子都比较适合；总价较低，首付较低，事宜刚需人群
                  ","
                    楼龄是2000年的，混合贷款、商贷等按房龄可以贷款25年；南北向两居室，格局方便使用；主卧室带阳台，客厅有阳台，明厨暗卫
                  ","
                    房本登记日期满五年，业主家庭在北京没有其他住房，此房首套购买契税1%，无增值税和个税
                  ","
                    此房没有抵押、查封、占用等限制出售情况，业主单独拥有，产权清晰，可以随时交易过户
                  ",,,,,,
502,['北洼路28号院 双南向精装修大客厅2居'],930,83311,"['海淀', '紫竹桥']",2室2厅1厨1卫,中楼层 (共18层),111.63㎡,平层,85.03㎡,塔楼,东南,钢混结构,精装,两梯十一户,集中供暖,有,2023/8/20,商品房,2009/7/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是满五年家庭名下唯一住宅，双南卧室楼层好
                  ","
                    此房是1996年中国通用技术单位，小区人员整齐，素质高；小区是每栋楼里有专门值班室，24小时值班管理好；两部电梯都是24小时，下楼有健身和活动的公园，很方便；下楼有物美，购物生活
                  ","
                    此房房本我看过，没有任何抵押，可以随时交易，诚心出售随时签约。
                  ","
                    从小区南门至地铁6号线花园桥站A口（西北口）有900米距离，楼下公交有87路（蓟门桥至定慧寺东）和437路（安河桥北至公主坟北）
                  ",,,,,,,
503,['北三环联想桥 满庭芳园 全南向两居室 采光好 交通便利'],1136,123492,"['海淀', '双榆树']",2室1厅1厨1卫,中楼层 (共24层),91.99㎡,平层,暂无数据,塔楼,南,钢混结构,其他,三梯十户,集中供暖,有,2023/8/15,已购公房,2004/4/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满庭芳园双南向公房两居室，中间层无遮挡，三阳台，单独管理。
                  ","
                    满庭芳园小区共有6栋楼，当代开发，小区物业费是2.5元/平米/月，供暖费是30元/平米。小区里面有老人小孩运动娱乐的场所。这里的居民素质高，文化氛围浓。小区有24小时热水，是市政集中供暖，24小时保安，楼栋设有门禁。
                  ","
                    2000年建成的塔楼，楼龄新，户型方正无浪费面积，两间朝南的卧室各带一个朝南的阳台，实用舒适，中间层没有任何遮挡，天气好时放眼望去，顿时感觉心情舒畅，心旷神怡。
                  ","
                    一公里范围内生活便利，银行：有北京银行，建设银行，农业银行，交通银行等；娱乐：有华星影城，新华国际影城，台球室，双榆树公园，KTV等； 美食：肯德基，麦当劳，食立方等各种舌尖上的美味；购物商场：双安，家乐福，沃尔玛，物美，金五星等
                  ","
                    此房为满五年不唯一公房，首套契税为1.5%，二套契税为3%，1%的个人所得税以及1435元的土地出让金，税费简单。
                  ","
                    出满庭芳园小区南门就是红民村公交站，有361路、运通101等；开车出小区南门就是北三环西路；小区西侧有地铁4号线人民大学站；交通四通八达，出行比较方便。
                  ",,,,,
504,['同泽园西里 低楼层两居室 满五唯一'],298,43785,"['海淀', '海淀其它']",2室1厅1厨1卫,低楼层 (共6层),68.06㎡,平层,56.32㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2023/8/19,商品房,2018/9/12,普通住宅,满两年,非共有,"
                                有抵押 74万元 公积金 客户偿还
                              ",已上传房本照片,"
                    满五年唯一， 南北通透，板楼6层的2层
                  ","
                    小区是城建集团开发的社区，总高6层板楼社区，集中供暖楼间距大，物业费低
                  ","
                    售房原因：置换
付款方式：贷款、全款都能接受
卖房周期：符合市场价就可以出手，不想卖太低
                  ","
                    2012年板楼社区，南北通透格局方正布局合理，集中供暖停车免费。
                  ",,,,,,,
505,['稻香园 2室1厅 南'],595,107986,"['海淀', '苏州桥']",2室1厅1厨1卫,顶层 (共6层),55.1㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/8/17,已购公房,2021/3/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
506,['中关村三才堂 南北通透 两居室'],718,116748,"['海淀', '五道口']",2室1厅1厨1卫,顶层 (共5层),61.5㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,2023/8/17,商品房,2020/6/17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透 采光好 无遮挡 视野好 居住舒适
                  ","
                    1990年小区，总层高五层的南北板楼，小区居民素质高，原国企单位的分房。
                  ","
                    满二原值540万，首套可以贷款303万，二套贷款186万，本次交易有契税，首套1%，二套3%
                  ","
                    自住的房子，装修保持的不错，可以拎包入住，不临街，无噪音，采光好
                  ",,,,,,,
507,['紫竹桥 1998年楼龄，精装修，双卧朝南，带客厅朝西'],808,99877,"['海淀', '紫竹桥']",2室1厅1厨1卫,低楼层 (共18层),80.9㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯九户,集中供暖,有,2023/8/19,商品房,2020/10/10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    紫竹桥 1998年楼龄，精装修，双卧朝南，带客厅朝西
                  ","
                    本房是西南向正规两居室带明客厅，明厨暗卫，户型方正，适合带老人孩子一起居住。
                  ","
                    出小区往东路口就有公园：北洼园，两个大型物美。银行有：建设银行、北京银行、中信银行。医院有：北洼路南头有空军总医院，北洼路北口是466航医，配套好。
                  ","
                    小区距离地铁6号线和地铁10号线慈寿寺站B口950米（来自百度地图测绘），门口往东走就是公交车站北洼路西里站，87路437路等公交车，出门往北走就是紫竹院路主干道，上三环和四环都很方便。
                  ",,,,,,,
508,['北太平路甲18号房子满五年唯一，南北通透不临路安静。'],890,107165,"['海淀', '玉泉路']",3室1厅1厨1卫,底层 (共6层),83.05㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023/8/16,已购公房,2013/1/25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一，南北通透不临路安静，小区24小时保安值班。
                  ","
                    小区是空政干休所退休干部的福利分房，小区一共三栋楼，3号楼已经安装好，2号楼正在安装，1号楼业主已经签完字等待2号楼安装完毕准备施工安装，小区单独管理安静无闲杂人员。
                  ","
                    房子属于底层老年人出行也方便，小区管理也不错，人文素质也高，房子采光也可以，这个楼有地下室不会返潮
                  ","
                    北太平路甲18号院社区配套完善，距离社区300米玉泉东市场，距离社区400米物美/迪卡侬；距离社区500米北京国际雕塑公园。 距离小区700米是地铁1号线玉泉路站东南口
                  ",,,,,,,
509,['远大园六区，户型方正两居室，中高楼层事业采光好'],1350,131375,"['海淀', '世纪城']",2室1厅1厨1卫,中楼层 (共16层),102.76㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,2023/8/20,商品房,2002/12/13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是公房，可高网签税费少，户型方正使用率高
                  ","
                    远大园六区是世纪城一期样板工程，属于商品房园区，人车分流，绿树成荫，乌语花香，适宜居住。物业公司开发商自持物业，世纪颐和物业，物业费3.5元，24小时保安巡逻，为居住安全保驾护航。
                  ","
                    本房户型方正，无浪费面积，无缺角，使用率高，俩卧室朝西南，中高楼层视野采光好。
                  ","
                    小区配套成熟，商场世纪金源MALL，家家悦超市，普蜂莲花超市，盒马鲜生超市等，地铁10号线车道沟站距离小区900米 (来源百度地图) 多条公交线，开车南侧就是板井路，西到西四环，东到昆玉河快速路，西二环，四通八达。
                  ","
                    小区出东门步行800米就能到地铁10号线车道沟站(数据来源百度地图)，公交远大路站有33路79路运通101线运通114线运通118线355路425路611路664。小区南侧就是板井路，往西就可以直接上四环，交通出行方便。
                  ",,,,,,
510,['海淀百里庄 精装三居 非顶层 南北通透 周边设施齐全'],878,113731,"['海淀', '甘家口']",3室1厅1厨1卫,高楼层 (共6层),77.2㎡,平层,54.8㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023/8/16,商品房,2012/8/24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房南北通透，格局方正，户型可设计，装修设计用心，看房方便
                  ","
                    本房原始格局是三居室，现业主装修时把中间采光一般的卧室给打开了，做成了一个开放式的活动区域。
                  ","
                    小区出东门北边就是永辉，往东是甘家口大厦，往西是美廉美，购物方便；公园有，南侧玉渊潭公园和北侧紫竹院公园；相邻有多家三甲医院。
                  ","
                    业主19年装修，设计花心思很多巧妙的地方。1：阳台的南侧做了50cm飘窗，东侧衔接处做了一个柜子。2：次卧和厨房的窗户往北做了飘窗增加了物品存放的空间。3：卫生间的梳妆镜往墙内探了10公分，增加了淋浴的空间。4：卫生间正对的墙体内探一组柜子。
                  ","
                    本房是业主贷款购买，但是在17年就还清贷款，现在房子权属干净，随时可以交易。
                  ","
                    小区西边走215米（来自高德地图）是73路公交增光路站，东边有6/9号线白石桥南站1000米（来自高德地图），到9号线白堆子站725米（来自高德地图），公共交通出行方便。出小区往南是阜成路，往东是首体南路，往北是增光路，往西是西三环，开车出行也很便捷。
                  ",,,,,
511,['航天社区 2室1厅 南 西'],878,136125,"['海淀', '中关村']",2室1厅1厨1卫,高楼层 (共14层),64.5㎡,平层,暂无数据,塔楼,南 西,钢混结构,其他,两梯八户,集中供暖,有,2023/8/17,央产房,1995/2/15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
512,['教委计生委大院 2室1厅 南 北'],820,143885,"['海淀', '中关村']",2室1厅1厨1卫,低楼层 (共7层),56.99㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/8/20,商品房,2016/9/13,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,,,,,,,,
513,['户型好 视野开阔 采光好 方便看 居住成本低 地段好'],730,76770,"['海淀', '西山']",2室1厅1厨1卫,中楼层 (共5层),95.09㎡,平层,84.03㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/8/20,二类经济适用房,2021/6/8,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    通透佳 户型好 视野开阔 采光好 方便看房 居住成本低 地段好
                  ","
                    2005年青远开发，板楼社区墙体厚，建筑质量高，公摊少，楼间距宽阔，视野采光好，总共23栋楼，全部是板楼一梯两户。门口有生活购物市场、公交站，生活方便。物业费低。
                  ","
                    户型很好，客厅主卧朝南，次卧厨房朝北。客厅和厨房都有阳台。整体采光很好。
                  ","
                    业主诚心卖房，看房提前约。装修完之后没有出租过，产权清晰，无抵押，随时可以交易。
                  ",,,,,,,
514,['万寿路西街5号院 2室1厅 西南'],952,144968,"['海淀', '万寿路']",2室1厅1厨1卫,中楼层 (共19层),65.67㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,两梯七户,自供暖,有,2023/8/19,商品房,2020/6/17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,
515,['工信部大院，朝南两居室，简单装修，中间层停车位充足'],1038,136025,"['海淀', '万寿路']",2室1厅1厨1卫,中楼层 (共19层),76.31㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,两梯六户,自供暖,有,2023/8/17,二类经济适用房,2016/12/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    工信大院，朝南两居室，简单装修，中间层，停车位充足
                  ","
                    此房是工信部大院，小区共5栋楼，分东院和西院，2008年建成，停车位较充足，150元/月，小区内有便民菜站和便民饮水，西临五棵松篮球馆、华熙、耀莱电影院，东临凯德晶品，南临301医院、沃尔玛，北临304医院、物美；多家银行，生活娱乐都齐全
                  ","
                    西南向采光佳，南向卧室有10.9平米，08年的楼龄，有电梯，适合老人小孩居住
                  ","
                    小区位于西三环与西四环之间，长安街边上，小区距离地铁一号线万寿路站和公交万寿路口西站400米（数据来自百度地图），小区南门直通万寿路西街，公交有624路，77路，32路，78路，373路等多条路线，距离玉渊潭公园4站，出行便利
                  ",,,,,,,
516,['五道口嘉园 新小区有电梯正对花园无遮挡采光好三居室'],999,107930,"['海淀', '五道口']",3室1厅1厨1卫,低楼层 (共28层),92.56㎡,平层,75.72㎡,塔楼,东南,钢混结构,精装,三梯八户,自供暖,有,2023/8/20,一类经济适用房,2012/12/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一，小区新，环境好，五道口商圈，旁边有地铁站，户型好
                  ","
                    五道口少有的2012年新小区，环境好，管理严格，北大分房，住户大部分是北大老师
                  ","
                    五道口商圈，旁边地铁13号线五道口站，购物有五道口华联，有清华北大，公园有京张遗址公园，圆明园颐和园
                  ","
                    满五年唯一，一类经济房，首套有1.5%契税+10%综合地价款，二套3%契税+10%综合地价款
                  ",,,,,,,
517,['志新村 带电梯 精装修 两居室 诚心出售 看房方便'],643,104384,"['海淀', '二里庄']",2室1厅1厨1卫,高楼层 (共18层),61.6㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯十户,集中供暖,有,2023/8/21,商品房,2014/9/10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是满五年唯一商品房，带电梯，交易只产生契税，精装修
                  ","
                    本房是1993年建成，钢混带电梯，户型方正，东南朝向，采光通风都很好，两个卧室都是采光面，卧室大小也很好使用，带独立的客厅，厨房对外有窗户。
                  ","
                    房子带电梯无论有小孩、老人都是很方便的，交通方便，位于北四环北侧，出行便利，也适合年轻人对通勤的要求。
                  ","
                    房子装修好，基本可以直接入住，业主保持的也很好的，装修材料都是很环保的材料。厨房是整体橱柜，卫生间的空间利用都很好，两个卧室空间大小也很好使用。
                  ",,,,,,,
518,['恩济里 精装修三居 中间层 采光好'],660,98464,"['海淀', '定慧寺']",3室1厅1厨1卫,中楼层 (共6层),67.03㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,无,2023/8/17,商品房,2009/12/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一商品房 通透性好 卫生间带窗户 采光好
                  ","
                    小区共23栋楼，分为安、定、幸、福四个苑，半封闭式管理， 南门进车，西门出车，市政集中供暖，小区里有两个幼儿园，园区内还自带小公园，有凉亭、长椅、健身器材不出小区就可以带孩子玩，小区东侧还有一个休闲公园
                  ","
                    房子格局好，南北通透三居，主卧室带阳台朝南，两卧室朝北，厨房朝北，卫生间带窗户（透气性好），格局方正，居住舒适，楼层合适，适合一家三代人居住
                  ","
                    房子产权清晰，单独产权，无抵押，无占用，家里人都商量好，价格合适可以签约
                  ",,,,,,,
519,['冠城南园 3室1厅 东南'],1730,136868,"['海淀', '马甸']",3室1厅1厨2卫,底层 (共23层),126.4㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,两梯四户,集中供暖,有,2023/8/19,商品房,2020/10/21,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,,,,,,,,
