,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,售房详情,适宜人群,户型介绍,装修描述,权属抵押,税费解析,别墅类型,用水类型,用电类型,燃气价格
232,['花园洋房。一楼带院，精装修即买即住，诚意急售，好房'],149,11428,"['城阳', '女姑']",3室2厅1厨2卫,低楼层 (共6层),130.39㎡,平层,112.39㎡,板楼,南,钢混结构,精装,一梯两户,集中供暖,无,2023/7/27,商品房,2017/7/26,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    花园洋房一楼带院产权清晰精装修即买即住急售好房
                  ","
                    本小区国内百强开发商开发，地处青岛大胶州湾生态居住岸线，总占地面积1340亩，总建筑面积160万平米，规化包括128.62万平米住宅，6万平米的蔚蓝国际商街，有15000户大型生态社区，融汇湖、岛、河、溪、湿地之自然大成，辅以借鉴现代西方造园菁华
                  ","
                    小区环境】10万平私家内湖小区环境清新绿化较高能占到47.6% 【小区物业】小区物业管理好,是集团自己的物业品牌、合理收费。 【公交娱乐】 ：913，936、122，935、岛民运动公园、公用足球场、随处可见的儿童娱乐设施
                  ","
                    本小区交通方便每天有免费往返市区山东路家乐福购物班车及上下班免费通勤班车，有途经761路至市政府、765路至青岛四方长途汽车站、766路至汽车北站、773路至火车北站西广场、935路至火车北站东广场、936路至四方长途汽车站、122路至李村公园
                  ",,"
                    孕婴老幼：本房是业主精装修房源，适合居家，小区人文环境好 首付不高：贷款方式不限制，适合首付不多的小两口 家有老人：楼层合适，配套齐全，有菜市场，公园，电梯房，不临街
                  ",,,,,,,,
233,['此房满五唯一 视野开阔  精装修 看房方便 诚心出售'],125,14063,"['黄岛', '江山南路']",3室1厅1厨1卫,中楼层 (共25层),88.89㎡,平层,66.83㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023/7/31,商品房,2016/11/8,普通住宅,满五年,共有,"
                                有抵押 27万元 公积金
                              ",已上传房本照片,"
                    此房满五唯一 视野开阔 全天采光 精装修 看房方便 诚心出售
                  ","
                    房屋一梯两户，楼道卫生整洁，物业为海尔物业，楼栋整体保持很好，邻里之间关系和睦且基本均为年轻人；楼上楼下作息正常，房主为90后年轻人，支持议价、商贷公积金贷款，首付比例不限，可预约随时看房，可当面议价。
                  ","
                    利群、百利来、吉韩、丰泰； 吉祥、世纪商城、佳世客、麦凯乐、瑞泰购物广场 景观：戴戈庄水库小珠山 公园：青岛珠山国家森林公园 周变医院5KM以内：香江医院 黄岛中新医院 ，青医附属医院
                  ","
                    交通便利 四通八达 东50 3路 7路 可以到达香江路主城区 南有46路 309直达灵山卫 沿海新城吾悦商圈 往北有昆仑山路 可直达辛安 胶东国际机场
                  ",,,,,,,,,,
234,['大套三，南北通透格局 ，视野开阔'],223,19774,"['李沧', '世园会']",3室2厅1厨2卫,高楼层 (共33层),112.78㎡,平层,86.23㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023/8/6,商品房,2020/10/12,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    高层大套三，南北通透格局 ，视野开阔 采光好，空气新鲜
                  ","
                    皇后道千山外是一个由高层和洋房组成的园林式小区，2018年才交房，小区一共10栋洋房和5栋高层组成，小区内错落有致，景观有层次立体感，小区三面环山，南向高层能看浮山，小区北向没高层建筑阻挡景观开阔，小区内人车分流，地下停车位配置充足。
                  ",,"
                    北面靠着世园大道有643公交车，东侧车库门口就是17路，南面的路上有389，390，640，130等公交车线，离世博园地铁站有四五公里远，2025年左右2号地铁线会通车，小区四周不堵车。
                  ",,,,"
                    精装交付可为客户节约预算，双卫面积大，都有明窗，干湿分离，一北双南卧，南明厅
                  ",,,,,,
235,['过5唯一好位置好楼层硕辉苑套三单卫精装修有地下室'],119,11576,"['即墨', '即墨城西']",3室1厅1厨1卫,中楼层 (共6层),102.8㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2023/7/25,商品房,2010/9/13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    硕辉苑位置佳楼层佳套三单卫户型精装修，红木全套家具
                  ",,"
                    小区内有配套幼儿园2所，社区卫生所、天巧坊蛋糕房、多家生鲜市场，出门建设、农商银行
                  ","
                    小区有三个车辆进出口，三个人行口，每个门都有多量公交车经过，方便出行
                  ",,,,,,,,,,
236,['薛家岛 凤凰园多层套二 楼层低采光好 近地铁出行方便'],83,10988,"['黄岛', '薛家岛']",2室2厅1厨1卫,低楼层 (共6层),75.54㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,暂无数据,2023/7/28,商品房,2006/1/4,普通住宅,满五年,非共有,"
                                有抵押 45万元 抵押公司 业主自还
                              ",已上传房本照片,"
                    此房储上多层低层采光好近地铁生活交通齐全
                  ","
                    小区为多期开发，建成年代1996年起，此房为福瀛房地产开发公司开发，物业公司为新时代物业，物业费0.3元，建筑类型为板楼。总楼栋数为44栋，1550户。房屋都是多层，多数楼栋有储物室。
                  ","
                    小区北侧就是天目山路农贸市场步行400米，小区南1500米是金沙滩，西侧200米是中联运动广场，另外有金海岸利群，薛家岛医院，惠康医院三级甲等医院，居然之家装饰城，配套成熟
                  ","
                    公交1、2、3、4、18、803路车至泽润金融广场站下车即是； 隧道1路，至嘉陵江东路站下车步行347米到本小区（数据来自高德地图）； 隧道3、5、6、7、8路到海韵家园站下车步行788米到本小区
                  ",,,,,,,,,,
237,['M1号线薛家岛站，嘉陵江小旁，南北精装两居，带储藏室'],106,12270,"['黄岛', '薛家岛']",2室2厅1厨1卫,低楼层 (共8层),86.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2023/7/30,商品房,2004/7/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    M1号线薛家岛站，嘉陵江小旁，多层南北精装两居，带储藏室
                  ","
                    小区共有11栋多层住宅，没有电梯。有南、北、西三个门。物业是九州物业 费用是0.5，小区是02年建成
                  ","
                    小区南侧500米学 校 幼儿园 。商场：金海岸利群、城市传媒广场、嘉陵江路市场、爱心农贸市场。医院：开发区薛家岛医院，慧康医院 开发区人民医院。
                  ","
                    小区距离M1薛家岛地铁口760米，公交车59.W4.809.27.东1.2，开发区4路，803，802，东16等多辆公交车，
                  ",,,,,,,,,,
238,['香江路 近利群 业主诚心出售 满五唯一 可贷款'],99.9,11795,"['黄岛', '香江路']",2室2厅1厨1卫,低楼层 (共6层),84.7㎡,平层,75.4㎡,板楼,南,钢混结构,简装,一梯两户,集中供暖,无,2023/8/9,商品房,2013/7/21,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,"
                    满五唯一  楼层低 双南卧室 房子公摊小 看房方便
                  ","
                    小区是集中供热，近两年刚刚翻新的小区，现在小区停车位充足！交通方便
                  ","
                    沿着庐山路往南走就到了家佳源，佳世客，麦凯乐，多元小商品城，往北走不到500米就到香江路利群。在香江路上分布着中国银行、工行、邮政、农行、农商、光大。马濠公园距离小区300米（百度地图），是休闲娱乐的好去处
                  ","
                    出门有公交，开发区7路，6路801路，52路，9路，18路等交通便利。
2023年年底香江路通地铁13号线，交通便利
                  ",,,,,,,,,,
239,['石湾新苑 多层3楼 今年新装修 一天未住 带储藏室'],178,21838,"['崂山', '西姜']",2室2厅1厨1卫,中楼层 (共6层),81.51㎡,平层,71.36㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,无,2023/8/16,商品房,2017/8/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    石湾新苑 3楼，套二双厅，带大阳台 南北通透，有钥匙 随时看
                  ","
                    石湾新苑位于崂山路87号，2009年建成，共34栋楼，建筑类型有洋房和小高层，洋房共6层无电梯，小高共11层带电梯，小区位于颐和星苑北，依山傍湖，清静幽雅，位置居佳，背山面海，有“天然氧吧”的美誉，交通便利
                  ",,,,,,,"
                    无抵押 无贷款 权属清晰 没有任何纠纷 本地业主，可以随时交易
                  ","
                    正规商品房，需要您缴纳1%契税（首套）、2%个税，省增值税，公共维修基金，大大减少了您的购房成本，缓解您的购房压力
                  ",,,,
240,['美寓天城2014年小区，精装南北通透套二，满五唯一'],220,23784,"['市北', '西韩']",2室2厅1厨1卫,中楼层 (共17层),92.5㎡,平层,76.19㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/8/16,商品房,2018/3/28,普通住宅,满五年,共有,"
                                有抵押 40万元 建设银行公积金 业主自还
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，户型方正，人车分流。车位充足，小区新
                  ","
                    小区是2014年建成，整个小区设计坚持大，气、简洁、明快的简欧风格。由高层、小高层、多层、商，业网点、高档酒店等21栋多种产品形态精品建筑组合而成，美寓天城目前有有7栋小高层在售,面积在65-150平不等,项目成菱形围合而成与安置房隔开。落地窗
                  ","
                    地铁3号线，公交美寓天城店。交通便利。佳世客购物广场，凯德购物广场，齐鲁医院，公园。小区安静人车分流
                  ","
                    3号线长沙路－步行802m（数据来自百度地图）3号线地铁大厦－步行954m（数据来自百度地图）。佳世客，华联商场，齐鲁医院。方便生活好地方
                  ",,,"
                    房子是2014年建成的，人车分流，户型方正，一梯两户，公摊小，户型一个南卧一个北卧南客厅。南北通透得房率高。
                  ",,,,,,,
241,['泛海名人广场 封闭小区 近佳世客 奥帆 大套三 单价低'],350,19538,"['市南', '远洋广场']",3室2厅1厨2卫,中楼层 (共29层),179.14㎡,平层,142.1㎡,塔楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023/8/9,商品房,2020/7/31,普通住宅,满两年,非共有,"
                                有抵押 160万元 未知 业主自还
                              ",已上传房本照片,"
                    远洋广场商圈 封闭小区 70年产权住宅 大套三户型 南北通透 急售
                  ","
                    这个小区是2001年的商品房，涉外小区，房屋建筑质量好，地理位置好，近佳世客，海信广场，奥帆等，近市立医院，眼科医院，整个生活配套很完善。出行，购物，就医都很方便。
                  ",,,,"
                    本房是改善性住房，宽敞舒适的套三户型，单价低，总价低，很适合事业上升期的家人们，一大家人居住很适合。
                  ",,,,"
                    本房是商品房，此房房本满五年，名下还有别的房子，满五年不唯一，这样有契税，还有个税。
                  ",,,,
242,['保利蔷薇公馆 2019年小区 套三双卫 地铁口 全天采光'],220,19257,"['城阳', '城阳实验二小']",3室1厅1厨2卫,高楼层 (共14层),114.25㎡,平层,87.23㎡,板楼,南,钢混结构,精装,两梯两户,集中供暖,有,2023/8/10,商品房,2019/4/23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    保利蔷薇公馆 2019年小区 套三双卫 靖城路地铁口 全天采光
                  ","
                    保利蔷薇公馆 2018年12月交房的新小区 小区共有11栋楼 共有725户 是保利发展开发的 小区绿化过35% 人车分流 面积有：87平中户套二 少量通透套二 103平套三单卫户型 112-114平套三双卫元宝户型 126-130、140平大套三双阳台户型
                  ","
                    家佳源商圈 生活很便利 眼前有：万达广场 利群商场 家佳源商场 万象汇 城阳这些主流商场都在300米之内
                  ","
                    100米靖城路地铁口 公交车有912路;932路；931路;944路，即青2号线，贯穿即墨与城阳，北面有轨电车，交通出行便利
                  ",,,,,,,,,,
243,['满五唯一免双税，一楼带院，精装修'],199,15968,"['李沧', '沧口公园']",3室2厅1厨2卫,低楼层 (共11层),124.63㎡,平层,100.12㎡,板楼,南 东 北,钢混结构,其他,一梯两户,集中供暖,有,2023/8/7,商品房,2017/9/6,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一免双税，一楼带院，精装修，南北通透
                  ","
                    北城唐街映象位于李沧区沧口公园，三中以东、重庆东路以西、唐山路以南、御景山庄南。由7栋10层高的小高层和15栋6层(包含5层)高的多层组成。封闭管理，小区南有水系小公园，北有娄山，配套设施齐全。
                  ","
                    沿唐山路到与永平路交叉口，有中联运动公园：沧口体育场，是健身锻炼的好去处，沧口体育场旁就是永平路维客，北方国贸，两个正规大型chao市。有兴城农贸市场，兴国路农贸市场，两个农贸市场。小区门口就是东小庄大集，农历一、六逢集，日常购物十分便宜
                  ","
                    小区南门距离1号线兴国路地铁口600米（数据来自百度地图），步行快速到达。一号线所在的重庆中路，是双向13车道的主干道，自驾车到城阳、到市区也十分方便！出小区就是唐山路兴国二路公交站：364路 116路 117路 935路 113等，通往市里，崂山，城阳，高新区
                  ",,"
                    年轻人和老人都适合，安静的小区，不靠任何主马路，小区内树木花坛郁郁葱葱，有休闲广场，适合日常散步和孩子们嬉闹玩耍。年轻人可以再次装修做个婚房，老人可以做个安居的养老房！房子是2015年交房，房龄比较新配套成熟。双南一北卧东厅南北通透，客厅..
                  ",,,,,,,,
244,['店长推荐 带电梯 精装修面积大 全明 价格低'],89,8957,"['黄岛', '保税区']",2室2厅1厨1卫,中楼层 (共19层),99.37㎡,平层,暂无数据,板楼,东 北,混合结构,精装,一梯两户,集中供暖,无,2023/8/16,商品房,2018/1/25,普通住宅,满五年,共有,"
                                有抵押 68万元 中国银行 客户偿还
                              ",已上传房本照片,"
                    采光好，视野好，单价低，配套设施齐全，交通便利。
                  ","
                    小区成熟稳定，规模很大很安静 .停车位免费且充足 .楼间距大，采光无遮挡 .在保税区西门南北江山南路，北边齐长城路的位置，出小区就是公交站牌。生活便利。
                  ",,"
                    保税区西门公交站，齐长城路站点15路、30路、52路、803路、1路、2路等等。
                  ",,"
                    大型企业多，保税区西侧，此房适合上班族，和刚需年轻人居住，生活交通便利，总价低，还款，没有压力。
                  ",,,,,,,,
245,['新上中南世纪城三期套三 ，满五唯一，省个税，急售'],149,16584,"['李沧', '十梅庵']",3室1厅1厨1卫,中楼层 (共30层),89.85㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023/8/8,商品房,2018/4/4,普通住宅,满五年,非共有,"
                                有抵押 38万元 建设银行 客户偿还
                              ",已上传房本照片,"
                    中间楼层，满五唯一 ，刚需套三，南北通透 业主诚心买 急售
                  ","
                    房子始建于2014年，坐落于十梅庵商圈，是交通便利、配套成熟．环境优美的宜居商品房小区。该小区的地址是青岛市李沧区重庆中路873号，是李沧分局湘潭路派出所的辖区。
                  ","
                    该小区交通比较便捷，1000米内有18条公交路线，327路364路和605大站车等，距离最近的公交站是坊子街站，该站距离本小区400米。距离最近的地鉄是1号线南岭站，该站距离本小区599米（数据来源百度地图）
                  ",,,"
                    预算低的刚需套三客户都可以考虑。交通方便 教育就在跟前，开车坐车出行都很方便，不管是刚需还是过渡都是挺好的选择
                  ",,,,,,,,
246,['市北 洛阳路40号小区 海琴广场 精装'],85,13490,"['市北', '闫家山']",3室0厅1厨1卫,高楼层 (共6层),63.01㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,集中供暖,无,2023/8/19,商品房,2006/6/8,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一省税，平地五楼，南北双阳台，采光通风好
                  ",,,,,"
                    刚需可以考虑，价格合适，小区多片楼房已改造，本小区待改造，户型佳
                  ","
                    房子是1982年的，一南双北不带厅户型，明厨，南北双阳台，采光通风好，老式简单装修
                  ",,"
                    房子无抵押无贷款，产权清晰，售房原因是置换，老人年纪大了想改善住房
                  ",,,,,
247,['龙泽苑东区，满五唯一，南北卧南客厅，中高楼层采光好'],88,10181,"['李沧', '十梅庵']",2室1厅1厨1卫,中楼层 (共22层),86.44㎡,平层,暂无数据,板楼,南,砖混结构,简装,两梯八户,集中供暖,有,2023/8/17,限价商品房,2017/11/24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    龙泽苑东区，满五唯一，南北卧南客厅，中高楼层采光好
                  ",,"
                    小区是2016年交付的次新小区，山景侧立绿化面积高，内部配有幼儿园，紧靠600万㎡虎山森林公园，李村公园、十梅庵公园分列左右，生态环境优越，小区里面有健身配套，平时可以和家人一期锻炼
                  ","
                    小区出门就有公交站 可以通往李村 城阳 十梅庵风景区 ，再就是重庆路上有十几条公交路线可以去崂山 市南市北 很方便
                  ",,,"
                    此房是南北卧南厅户型，户型方正，格局合理，精装修可以拎包入住，采光面比较多
                  ",,,,,,,
248,['位置好，户型方正，宜居，业主诚心卖！'],160,21796,"['市北', '浮山后']",2室1厅1厨1卫,高楼层 (共7层),73.41㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,2023/8/17,商品房,2015/3/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    位置好，户型方正，宜居，业主诚心卖，人很好！
                  ","
                    小区位于辽阳西路与同和路交叉口，占地426,000平方米 [约639亩] 来源百度。成熟小区，交通便利，文化氛围浓厚成熟配套，占据浮山后有利地段！小区内有市场，出门佳世客、卜蜂莲花，距离齐鲁医院也近，可以满足您平时日常生活、购物
                  ","
                    成熟配套，占据浮山后有利地段！小区内有市场，出门佳世客、卜蜂莲花，距离齐鲁医院也近，可以满足您平时日常生活、购物、娱乐等需求
                  ","
                    公交601，19,307,216,362,622,370等出行方便，前往市南，市北 ，崂山，李沧，城阳，火车站方便，机场巴士直达机场，劲松三路劲松四路合肥路和辽阳西路。
                  ",,,,,,,,,,
249,['户型方正，全明，光线充足，位置安静，楼层好'],120,21583,"['市北', '大学路']",2室1厅1厨1卫,低楼层 (共6层),55.6㎡,平层,49.86㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,2023/8/16,商品房,2010/4/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型方正，全明，光线充足，位置安静，楼层好，配套设施齐全
                  ","
                    小区位置安静，空气清新，离榉林山公园近，设施配套齐全，适合老人小孩居住。
                  ","
                    小区离商场，银行，酒店，市场，公交车站近，有中山公园，百花园，动物园
                  ",,,"
                    楼层较底，设施配套齐全，有公园，市场，银行，酒店，生活便利，适合老人小孩居住。
                  ",,,,,,,,
250,['地铁沿线，封闭小区，精装修二楼套三，可拎包入住'],255,26764,"['市南', '闽江路']",3室1厅1厨1卫,低楼层 (共6层),95.28㎡,平层,84.77㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/8/11,商品房,2020/10/27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    精装修南北通透套三，楼层好，双地铁沿线。小区内不临街不靠路
                  ",,,,,"
                    小区是1998年建成的封闭小区，小区内共9栋楼，小区物业费0.45，保安24小时值班，居家生活舒适度高
                  ","
                    房子的户型是双南 北厨房，厅是中间厅，较为经典的南北方正套二，没有浪费面积。
                  ","
                    房子业主精心收拾过，目前家电家具都是全套的，对于不是要求很高的客户基本简单收拾整理就可以住，很方便。
                  ",,,,,,
251,['市南区 楼层好 位置安静  不临街不靠路 厨卫都挺大'],245,27347,"['市南', '田家花园']",3室1厅1厨1卫,低楼层 (共6层),89.59㎡,平层,80.52㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023/8/11,商品房,2014/1/20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房楼层好，位置安静 、不临街不靠路，厨房卫生间都挺大
                  ","
                    远洋山庄位于福州北路12号，小区7栋多层组成，房子建成年代1999年封闭式管理小区.物业管理到位，居民素质高，大部分都是远洋集团内部职工，物业费7毛，有地上停车位。进出小区需打卡。
                  ","
                    远洋山庄位于福州北路12号，广电大厦，居民素质高，小区内大部分都是远洋集团内部职工，物业费7毛，有地上停车位，近大润发，五号线地铁口福宁立交桥站在建
                  ","
                    公交：320（绍兴路）；308专（绍兴一路）；11、23、202、205、208、216、223、226、227、228、301专、309专、363专、801（广电大厦站）；12、211专、307、320；370（吴兴路站）地铁：3号线（敦化路站）
                  ",,,,,,,,,,
252,['本房通透全明，采光充足，交通便利带储藏室'],69,8024,"['黄岛', '老城区']",3室1厅1厨1卫,高楼层 (共6层),86㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,暂无数据,暂无数据,2023/8/14,商品房,2005/3/29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房通透全明，采光充足，交通便利带储藏室
                  ","
                    小区人文环境好，街边就有菜市场，出行方便，生活安逸，居住温馨，小区内居民素质高。
                  ","
                    商场有佳乐家、利群、家家悦，胶南商城，新阳光，家乐城，银行有农业、工商、青岛、建行等，出门就是新风街菜市场，西行有东风路菜市场，南边有大型水产蔬菜市场，生活便利
                  ","
                    交通出行便利，公交站点多，公交线路多，交通四通八达，近地高铁站，出行便利
                  ",,"
                    低密度小区，生活方便。近菜市场，医院，适合家庭居住，颐养天年的好去处。
                  ",,,,,,,,
253,['市北 龙湖春江郦城二期 精装套三 楼下地铁'],265,26714,"['市北', '万科广场']",3室2厅1厨1卫,中楼层 (共19层),99.2㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,集中供暖,有,2023/8/13,商品房,2020/12/13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房位于龙湖春江郦城二期，位置佳，采光视野好，精装次新房
                  ","
                    2019年12月16日竣工。人车分流。龙湖物业，园林绿化不错，有专人打理。儿童游乐区、健身器材等等都有。物业活动比较多，比如洗车、洗地垫等等
                  ","
                    配套完善，交通便利。未来公园，三甲医院，地铁1号线，商场，幼儿园到初中都在家门口上，均在步行1000米范围内。
                  ",,"
                    此房是业主买的一手房，精装未住。楼座位置好，正南正北。中间楼层，采光视野佳！拎包入住。售房原因是多余房产，诚心出售。
                  ",,,,,,,,,
254,['三期中间楼座 套四好房！中高楼层 不临街不临路 安静'],355,24669,"['市北', '万科广场']",4室2厅1厨2卫,中楼层 (共21层),143.91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯四户,集中供暖,有,2023/8/11,商品房,2020/7/2,普通住宅,满两年,非共有,"
                                有抵押 227万元 日照银行
                              ",已上传房本照片,"
                    三期中间楼座 套四好房！地铁+商场 中高楼层 不临街不临路 安静
                  ","
                    万科未来城三期为2020年6月交付。万科未来城属于大型社区，万科三期共有7栋楼，全是商品房。便利店菜店诊所多，生活便利。安静舒适，整个社区7000户业主，没有回迁户，整体学历水平和素质较高。小区会客厅，儿童乐园，健身跑道，乒乓球室等设施一应俱全。
                  ","
                    地铁1号线，12万方万科广场，未来公园，三甲医院，银行便利店，均在步行范围内，幼儿园到初中12年在家门口上，生活教育交通都很便利
                  ","
                    地铁1号线，可换乘到达青岛任一地铁站。公交12路，366路，373，375路，南至市南，东至新都心崂山，北至李沧城阳。开车走唐河路、四流南路、跨海大桥、环湾路等很方便，距离铁路北站4公里。四通八达，出行便利。
                  ",,,"
                    2020年交付，房龄新，品牌房企，业主自住，套四双卫，元宝户型，两南两北卧室，南客厅，落地窗，居住舒适度高，不临街不临路，安静舒适。
                  ",,,"
                    房子为70年产权商品房，住宅，契税满二，个税2%，契税首套1.5%，二套2%，三套以上3%
                  ",,,,
255,['新上全明边户，精装修配套成熟，户型方正'],265,28855,"['崂山', '国信体育场']",2室1厅1厨1卫,低楼层 (共19层),91.84㎡,平层,73.22㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/8/18,商品房,2015/1/16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新上全明边户，精装修配套成熟，户型方正
                  ","
                    本小区的房子是2012年建成的，房龄新环境好，南北卧，通风效果好，人车分流，安全性高
                  ","
                    小区东边有大拇指西边有大润发，南邻国信体育馆，北邻装饰城，配套齐全，小区内还有友客，小区食堂等等，生活方便，南区基本多层为主，居住安静适宜
                  ",,,"
                    小区地面没有车辆，适宜老人孩子居住，安全性高，小区环境也比较好。
                  ",,,,,,,,
256,['精装修 拎包入住 中间楼层 万科物业 低密度小区'],106,12296,"['黄岛', '六中']",2室1厅1厨1卫,中楼层 (共17层),86.21㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023/8/18,商品房,2020/6/12,普通住宅,满两年,共有,"
                                有抵押 28万元 公积金 业主自还
                              ",已上传房本照片,"
                    方正户型 精装修 中间楼层不挡光 停车方便 万科物业 人车分流
                  ","
                    小区整体是洋房加小高层组成的小区，整个小区共6栋洋房和3栋小高。万科物业是全国排名前列的优质物业，进出管理严格，小区卫生干净整洁。小区东面和西面都是幼儿园。环境安静，配套全。
                  ","
                    距离幸孚茂商场800米平常购物方便，距离隐珠地铁站500米出行方便
                  ","
                    房子距离地铁M13隐珠站300米，还有多路公交车，出行方便，交通便利
                  ",,,,,,,,,,
257,['石油大学西 商圈旁地铁口 套三双卫 户型棒！'],198,13981,"['黄岛', '石油大学']",3室2厅1厨2卫,低楼层 (共6层),141.63㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,2023/8/11,商品房,2018/6/11,普通住宅,满五年,非共有,"
                                有抵押 90万元
                              ",已上传房本照片,"
                    滨海大道繁华商圈 佳世客 吾悦广场 地铁口 交通生活便利
                  ",,,,,"
                    想改下改善环境 换房子面积大些的，为孩子上学 ，楼层佳 老人孩子都适合
                  ","
                    房子户型房子 南北通透，南客厅 双南卧 一北卧 双卫 ，南北2个落地阳台 ，户型合理 无浪费面积
                  ","
                    房子属于简单装修 买了容易拆除 按照自己喜好装修，户型方正 没有需要改造的 方便装修
                  ",,,,,,
258,['近地铁 高楼层带阁楼  1996年小区业主诚售'],100,14752,"['市北', '错埠岭']",2室1厅1厨1卫,高楼层 (共7层),67.79㎡,平层,62.15㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,2023/8/18,已购公房,2012/9/3,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房过五唯一 双南卧室 采光好 单独阁楼
                  ",,"
                    房子是东胜之路的，小区北侧是东管路，南侧就是伊春路的，东侧是福州北路的，清江路地铁口是约300米，哈尔滨路公交车路线多。
                  ","
                    小区北侧是东管路，南侧就是伊春路的，东侧是福州北路的，清江路地铁口是约300米，哈尔滨路公交车路线多，3，626，605，318，12，208，。。。
                  ",,,"
                    1996年的小区 这个楼座是马赛克楼座，户型是南北向的，双南卧室北厨房，楼上带一个阁楼，看房方便。
                  ",,,,,,,
259,['中间楼层 精装修 品牌家具家电 拎包住'],110,13461,"['城阳', '东方城东']",2室1厅1厨1卫,中楼层 (共27层),81.72㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,集中供暖,有,2023/8/17,商品房,2019/9/30,普通住宅,满两年,非共有,"
                                有抵押 18万元
                              ",已上传房本照片,"
                    精装修好房 中间楼层，开放式大厨房搭配方太大吸力油烟机
                  ","
                    鑫江水青花都项目由青岛鑫江置业有限公司开发，地处李沧区与城阳区的交汇处项目共规划三期，一期为高层户型，二期为高层和多层，三期为高层和别墅,小区绿化为35%，主要以水系为主，人车分流，鑫江物业，全封闭式小区，小区门口有生鲜交通便利
                  ",,"
                    鑫江水青花都位于黑龙江路与王沙路交汇处，可乘坐103路、106路、109路、111路环线、129路、131路环线、312路、371路、371路区间、372路、503路等在山水嘉园公交站下车。地铁15号线正在施工中。。
                  ",,,,"
                    房子婚房精装修，开放厨房，方太大吸力油烟机，奥克斯空调，客厅通体大理石瓷砖，卧室圣象地板，定制衣柜、榻榻米，箭牌智能马桶，语音控制灯光，凯迪仕智能指纹锁，卧室定制实木门，海尔防干烧燃气灶，海尔燃气热水器，电动晾衣架，公牛开关插座等
                  ",,,,,,
